"12009","32754"
"21073","40601"
"26025","49011"
"48401","75652"
"13215","31808"
"12055","33825"
"19167","51003"
"31119","68701"
"48055","78616"
"48001","75763"
"47087","38562"
"42097","17017"
"40143","74008"
"42021","15714"
"48029","78002"
"17127","62910"
"12019","32003"
"41003","97324"
"01081","36801"
"42049","16401"
"13083","30738"
"13285","30230"
"40109","73003"
"55043","53518"
"25019","02554"
"48213","75124"
"28033","38632"
"28125","38721"
"26079","49633"
"28111" "39423"
"29109" "64848"
"18013" "46160"
"12101" "33523"
"36059" "11001"
"08041" "80106"
"17099" "60470"
"45077" "29630"
"25025" "02101"
"42091" "18041"
"36029" "14001"
"17143" "61451"
"41047" "97002"
"12115" "34223"
"55087" "54106"
"40097" "74330"
"51041" "23112"
"48249" "78332"
"49053" "84722"
"13057" "30102"
"51153" "20109"
"13105" "30624"
"54069" "26003"
"13013" "30011"
"37081" "27214"
"29209" "65611"
"13051" "31302"
"25001" "02532"
"53011" "98601"
"55055" "53036"
"48381" "79015"
"01101" "36013"
"41027" "97014"
"13217" "30014"
"13245" "30805"
"39151" "44601"
"05119" "72053"
"06019" "93210"
"42133" "17019"
"39081" "43901"
"05121" "72413"
"55121" "54612"
"24005" "21013"
"36117" "13143"
"31055" "68007"
"42077" "18011"
"51059" "20120"
"21029" "40047"
"12045" "32456"
"51840" "22601"
"48149" "78932"
"05051" "71901"
"06061" "95602"
"20209" "66012"
"06083" "93013"
"28047" "39501"
"28043" "38901"
"20005" "66002"
"37109" "28033"
"28087" "39701"
"20061" "66441"
"12053" "34601"
"16055" "83801"
"55025" "53508"
"37107" "28501"
"45075" "29018"
"36057" "12010"
"54041" "26321"
"53077" "98901"
"05125" "72002"
"37039" "28781"
"16083" "83301"
"08003" "81101"
"20087" "66054"
"12095" "32703"
"34021" "08520"
"37129" "28401"
"17041" "61910"
"24031" "20810"
"42071" "17022"
"39113" "45309"
"38089" "58601"
"01019" "35959"
"16001" "83616"
